主窗口: EXPERT RC - Combined axial load and bending (hwnd=530232)
Design页: hwnd=1119988
子控件数量: 56

【Design 直接子控件】
 idx      id  class                     text                            rect(left,top,right,bottom)
--------------------------------------------------------------------------------------------------------------
   0    1300  Button                    Loads (kN, kN*m)                (24,371,472,641)
   1    1027  Static                                                    (481,371,686,576)
   2    1222  GXWND                     Custom1                         (119,394,457,564)
   3   52527  Edit                                                      (121,396,121,396)
   4    1350  Static                                                    (35,441,95,501)
   5   65535  Button                    Calculated as a                 (308,572,460,627)
   6    1786  Static                    Moment redistribution factor:   (35,592,187,628)
   7    1223  Edit                                                      (227,596,297,622)
   8    1224  Button                    beam                            (316,598,381,619)
   9    1225  Button                    column                          (386,598,451,619)
  10    1050  Static                                                    (196,600,217,614)
  11    1301  Button                    Results                         (24,647,472,919)
  12    1302  Button                    Dimensions (cm)                 (483,647,721,868)
  13    1123  Static                                                    (38,668,70,700)
  14    1227  Edit                                                      (533,672,594,698)
  15   65535  Static                                                    (145,674,201,702)
  16   65535  Static                                                    (308,674,364,702)
  17    1028  Static                                                    (498,674,521,691)
  18    1237  Button                    Fixed                           (612,674,687,695)
  19    1491  Static                                                    (103,679,127,696)
  20    1047  Static                                                    (147,679,200,700)
  21    1118  Static                    cm2                             (208,679,257,696)
  22    1499  Static                                                    (267,679,291,696)
  23    1048  Static                                                    (309,679,362,700)
  24    1119  Static                    cm2                             (372,679,421,696)
  25    1228  Edit                                                      (533,706,594,732)
  26    1229  Edit                                                      (533,706,558,732)
  27    1236  Button                    Fixed                           (612,708,687,729)
  28    1487  Static                                                    (215,711,238,728)
  29    1101  Static                    N =                             (502,711,523,728)
  30   65535  Static                    Reinforcement ratio :           (89,713,205,730)
  31    1004  Static                                                    (259,713,317,730)
  32    1100  Static                                                    (498,713,521,730)
  33   65535  Button                    Code requirements               (35,740,460,831)
  34    1230  Edit                                                      (533,745,594,771)
  35    1235  Edit                                                      (645,745,706,771)
  36    1034  Static                                                    (497,749,520,766)
  37    1037  Static                                                    (610,749,633,766)
  38   65535  Static                    Minimum reinforcement ratio :   (42,766,205,783)
  39    1488  Static                                                    (211,766,243,783)
  40    1038  Static                    0.10 %                          (259,766,317,783)
  41    1226  Button                    Seismic detailing               (336,781,457,802)
  42    1231  Edit                                                      (533,785,594,811)
  43    1234  Edit                                                      (645,785,706,811)
  44    1041  Static                                                    (497,787,520,804)
  45    1042  Static                                                    (610,787,633,804)
  46    1489  Static                                                    (211,796,243,813)
  47   65535  Static                    Maximum reinforcement ratio :   (42,798,208,815)
  48    1039  Static                    N/A                             (259,798,317,815)
  49    1232  Edit                                                      (533,823,594,849)
  50    1233  Edit                                                      (645,823,706,849)
  51    1043  Static                                                    (498,827,521,844)
  52    1044  Static                                                    (610,827,633,844)
  53    1327  Edit                                                      (33,842,458,906)
  54    1239  Button                    &C A L C U L A T E              (483,885,620,919)
  55    1238  Button                    &N o t e                        (626,885,721,919)

【GXWND 荷载表内部控件】(hwnd=923698)


 idx      id  class                     text                            rect(left,top,right,bottom)
--------------------------------------------------------------------------------------------------------------
   0   52527  Edit                                                      (121,396,121,396)
